# Perturbation	Media	Growth_Fitness	Growth_Error (SEM)	Swimming_Fitness	Swimming_Error (SEM)	# Knockdowns
WT	LB	0	0.00651859610792712	0	0.0313824110090468	0
CRP	LB	0.03281281502607	0.028674094725906	-0.92222	0.02213130383935	1
Fis	LB	0.132171670553366	0.012935957123226	-0.775555	0.015130681097127	1
HNS	LB	0.202522144716902	0.022348592765678	-0.572223333333333	0.035755131442136	1
FlhDC	LB	-0.0776791020847478	0.0191077437813355	-1.50722333333333	0.00924732417753615	1
FliZ	LB	0.00112877171972636	0.0236277017224378	-1.52722166666667	0.00446763862766534	1
FliZ+CRP	LB	0.0272403970872286	0.0298955654195316	-1.485555	0.014552976191093	2
FlhDC+CRP	LB	0.111687132023672	0.0220678072243997	-1.42333333333333	0.0168119899013901	2
FliZ+Fis	LB	0.0439056104511459	0.0132497810769707	-1.17555333333333	0.0426738337990754	2
HNS+FlhDC	LB	0.0373164604810763	0.0190705986127328	-1.3	0.00654915258866593	2
FlhDC+Fis	LB	0.0417906430866838	0.0166710813974499	-1.503885	0.00916038393279978	2
FliZ+HNS	LB	0.218544122709805	0.0131554904850952	-1.40166666666667	0.0280753644809954	2
WT	Glucose	0	0.00831141965017001	0	0.0321558825446017	0
CRP	Glucose	0.206504428764473	0.0104095357554283	-0.608333333333334	0.0182149590436806	1
Fis	Glucose	0.299634982050025	0.0163961020393587	-0.596668333333334	0.0135565087859287	1
HNS	Glucose	0.577534581650996	0.0161397625284578	-0.565558333333333	0.0294894205778703	1
FlhDC	Glucose	0.183761744398078	0.0129409591390568	-1.050555	0.0144732981248612	1
FliZ	Glucose	0.0705714832841423	0.0294599282464855	-1.044445	0.0139957151280113	1
FliZ+CRP	Glucose	-0.0576123260115791	0.0112182138912581	-1.04777833333333	0.0126669363311938	2
FlhDC+CRP	Glucose	-0.166849031799142	0.0179997251674325	-0.948333333333334	0.0116508164075726	2
FliZ+Fis	Glucose	0.0879753229841208	0.0196269574814974	-0.885	0.0115710651099101	2
HNS+FlhDC	Glucose	0.254727099129676	0.0202912071835051	-0.987221666666667	0.0111762396984091	2
FlhDC+Fis	Glucose	0.213585907926385	0.0199524182734068	-0.964445	0.0154826997627818	2
FliZ+HNS	Glucose	0.402143291976461	0.0223088438393685	-1.01722333333333	0.012720999465742	2
WT	Lactose	0	0.00778205575232328	0	0.0718863032651536	0
CRP	Lactose	-0.0478781022067861	0.0247195294895573	-0.667778333333333	0.030963138849403	1
Fis	Lactose	0.0921248613741405	0.0421723668142273	-0.684998333333334	0.0301477152196143	1
HNS	Lactose	0.876759012345842	0.0189242004365216	-0.656666666666667	0.0607449035973847	1
FlhDC	Lactose	0.157690591048736	0.0203374373156008	-1.13388833333333	0.020463819336865	1
FliZ	Lactose	0.239199270974262	0.0194975185276511	-1.11888666666667	0.0195086606337345	1
FliZ+CRP	Lactose	0.0269475986833997	0.0225879872355786	-1.163335	0.0117402196490273	2
FlhDC+CRP	Lactose	-0.0728746736723017	0.0234929113320866	-0.956111666666667	0.0386763594747776	2
FliZ+Fis	Lactose	0.161724622755627	0.0296432389222791	-0.981111666666667	0.0352828838579464	2
HNS+FlhDC	Lactose	1.08820024354602	0.0129489112764499	-1.08722166666667	0.0233491057882547	2
FlhDC+Fis	Lactose	0.0834438201915039	0.0229983811714605	-1.18278	0.0127977058888896	2
FliZ+HNS	Lactose	0.249670265305449	0.0199885738745197	-1.03278	0.0330259705790032	2
